Numero_Treinamento,Modelo,Dataset,Instancias,K-folds_qtd,Fold,Dropout,Learning_rate,Epocas,Acuracia,F1_score
01,TFIDF+MLP,buscape,13620,10,1,0.05,0.0005,5,0.84,0.85
01,TFIDF+MLP,buscape,13620,10,2,0.05,0.0005,5,0.85,0.85
01,TFIDF+MLP,buscape,13620,10,3,0.05,0.0005,5,0.85,0.85
01,TFIDF+MLP,buscape,13620,10,4,0.05,0.0005,5,0.85,0.86
01,TFIDF+MLP,buscape,13620,10,5,0.05,0.0005,5,0.85,0.85
01,TFIDF+MLP,buscape,13620,10,6,0.05,0.0005,5,0.86,0.86
01,TFIDF+MLP,buscape,13620,10,7,0.05,0.0005,5,0.86,0.86
01,TFIDF+MLP,buscape,13620,10,8,0.05,0.0005,5,0.86,0.87
01,TFIDF+MLP,buscape,13620,10,9,0.05,0.0005,5,0.86,0.87
01,TFIDF+MLP,buscape,13620,10,10,0.05,0.0005,5,0.87,0.88
