Numero_Treinamento,Modelo,Dataset,Instancias,K-folds_qtd,Fold,Dropout,Learning_rate,Epocas,Acuracia,F1_score
03,TFIDF+MLP,buscape,13620,10,1,0.05,0.005,5,0.83,0.83
03,TFIDF+MLP,buscape,13620,10,2,0.05,0.005,5,0.83,0.84
03,TFIDF+MLP,buscape,13620,10,3,0.05,0.005,5,0.82,0.82
03,TFIDF+MLP,buscape,13620,10,4,0.05,0.005,5,0.83,0.83
03,TFIDF+MLP,buscape,13620,10,5,0.05,0.005,5,0.84,0.84
03,TFIDF+MLP,buscape,13620,10,6,0.05,0.005,5,0.83,0.83
03,TFIDF+MLP,buscape,13620,10,7,0.05,0.005,5,0.83,0.82
03,TFIDF+MLP,buscape,13620,10,8,0.05,0.005,5,0.83,0.84
03,TFIDF+MLP,buscape,13620,10,9,0.05,0.005,5,0.83,0.84
03,TFIDF+MLP,buscape,13620,10,10,0.05,0.005,5,0.85,0.86
